Entry,Source,Positiv,Negativ
A,H4Lvd,,
ABANDON,H4Lvd,,Negativ
ABANDONMENT,H4,,Negativ
ABATE,H4Lvd,,Negativ
ABATEMENT,Lvd,,
ABDICATE,H4,,Negativ
ABHOR,H4,,Negativ
ABIDE,H4,Positiv,
ABILITY,H4Lvd,Positiv,
ABJECT,H4,,Negativ
ABLE,H4Lvd,Positiv,
ABNORMAL,H4Lvd,,Negativ
ABOARD,H4Lvd,,
ABOLISH,H4Lvd,,Negativ
ABOLITION,Lvd,,
ABOMINABLE,H4,,Negativ
ABORTIVE,Lvd,,
ABOUND,H4,Positiv,
ABOUT#1,H4Lvd,,
ABOUT#2,H4Lvd,,
ABOUT#3,H4Lvd,,
ABOUT#4,H4Lvd,,
ABOUT#5,H4Lvd,,
ABOUT#6,H4Lvd,,
ABOUT#7,H4Lvd,,
ABOVE#1,H4Lvd,,
ABOVE#2,H4Lvd,,
ABOVE#3,H4Lvd,,
ABOVE#4,H4Lvd,,
ABRASIVE,H4,,Negativ
ABROAD,H4Lvd,,
ABRUPT,H4Lvd,,Negativ
ABSCOND,H4,,Negativ
ABSENCE,H4Lvd,,Negativ
ABSENT#1,H4Lvd,,Negativ
ABSENT#2,H4Lvd,,
ABSENT-MINDED,H4,,Negativ
ABSENTEE,H4,,Negativ
ABSOLUTE#1,H4Lvd,,
ABSOLUTE#2,H4Lvd,,
ABSOLVE,H4,Positiv,
ABSORB#1,H4Lvd,,
ABSORB#2,Lvd,,
ABSORBENT,H4,Positiv,
ABSORPTION,H4,Positiv,
ABSTAIN,Lvd,,
ABSTRACT,H4Lvd,,
ABSTRACTION,H4Lvd,,
ABSURD,H4Lvd,,Negativ
ABSURDITY,H4,,Negativ
ABUNDANCE,H4Lvd,Positiv,
ABUNDANT,H4Lvd,Positiv,
ABUSE#1,H4Lvd,,Negativ
ABUSE#2,H4Lvd,,Negativ
ABYSS,H4Lvd,,Negativ
ABYSSINIA,Lvd,,
ACADEMIC,H4Lvd,,
ACADEMY,H4Lvd,,
ACCEDE,H4Lvd,Positiv,
ACCELERATE,H4Lvd,,
ACCELERATION,H4Lvd,,
ACCENTUATE,H4,Positiv,
ACCEPT,H4Lvd,Positiv,
ACCEPTABLE,H4Lvd,Positiv,
ACCEPTANCE,H4Lvd,Positiv,
ACCESS,H4Lvd,,
ACCESSIBLE,H4,Positiv,
ACCESSION,H4,Positiv,
